"시군별(1)",2023,2023,2023
"시군별(1)",합계,남자,여자
"전체",139699,69252,70447
"춘천시",14340,7042,7298
"원주시",19586,9525,10061
"강릉시",14787,7777,7010
"동해시",3713,1948,1766
"태백시",1379,699,680
"속초시",2441,1215,1226
"삼척시",7444,3588,3855
"홍천군",14183,6955,7228
"횡성군",11670,5845,5825
"영월군",6915,3305,3610
"평창군",8270,4245,4025
"정선군",4080,2020,2060
"철원군",7533,3667,3866
"화천군",3663,1728,1935
"양구군",3964,2011,1952
"인제군",5754,2953,2800
"고성군",4569,2120,2450
"양양군",5410,2608,2802
