지역,배수로-흙수로 [m],배수로-구조물 [m],용수로-흙수로 [m],용수로-구조물 [m],총저수량 (천㎥),총 저수량 규모별 (개)
전남 여수시,,,,,7766.0,66.0
전남 순천시,,,,,9340.0,68.0
전남 나주시,,,,,127945.0,220.0
전남 광양시,,,,,7024.0,36.0
전남 담양군,,,,,104359.0,117.0
전남 곡성군,,,,,25496.0,132.0
전남 구례군,,,,,16140.0,56.0
전남 고흥군,,,,,40908.0,277.0
전남 보성군,,,,,26431.0,129.0
전남 화순군,,,,,37559.0,160.0
전남 장흥군,,,,,27096.0,115.0
전남 강진군,,,,,39643.0,134.0
전남 해남군,,,,,44179.0,374.0
전남 영암군,,,,,23506.0,224.0
전남 무안군,,,,,11811.0,179.0
전남 함평군,,,,,20794.0,159.0
전남 영광군,,,,,34338.0,196.0
전남 장성군,,,,,131145.0,122.0
전남 완도군,,,,,5114.0,49.0
전남 진도군,,,,,19725.0,134.0
전남 신안군,,,,,14082.0,246.0
경북 소계,,,,,549405.0,5000.0
경북 포항시,,,,,46624.0,275.0
경북 경주시,,,,,86871.0,391.0
경북 김천시,,,,,9911.0,252.0
경북 안동시,,,,,13783.0,180.0
경북 구미시,,,,,20861.0,200.0
경북 영주시,,,,,16013.0,63.0
경북 영천시,,,,,37399.0,980.0
경북 상주시,,,,,35075.0,216.0
경북 문경시,,,,,36927.0,47.0
경북 경산시,,,,,27406.0,295.0
경북 의성군,,,,,39544.0,696.0
경북 청송군,,,,,16422.0,188.0
경북 영양군,,,,,11326.0,104.0
경북 영덕군,,,,,22445.0,118.0
경북 청도군,,,,,24505.0,287.0
경북 고령군,,,,,10297.0,167.0
경북 성주군,,,,,50042.0,176.0
경북 칠곡군,,,,,11164.0,183.0
경북 예천군,,,,,11905.0,117.0
경북 봉화군,,,,,13725.0,44.0
경북 울진군,,,,,7160.0,21.0
경남 소계,,,,,313208.0,3158.0
경남 창원시,,,,,24949.0,170.0
경남 진주시,,,,,22766.0,270.0
경남 통영시,,,,,1543.0,48.0
경남 사천시,,,,,23003.0,154.0
경남 김해시,,,,,5025.0,129.0
경남 밀양시,,,,,20642.0,205.0
경남 거제시,,,,,3497.0,100.0
경남 양산시,,,,,1890.0,50.0
경남 의령군,,,,,19333.0,163.0
경남 함안군,,,,,8409.0,191.0
경남 창녕군,,,,,16770.0,224.0
경남 고성군,,,,,23620.0,218.0
경남 남해군,,,,,12468.0,167.0
경남 하동군,,,,,44530.0,153.0
경남 산청군,,,,,22401.0,222.0
경남 함양군,,,,,15385.0,179.0
경남 거창군,,,,,24098.0,178.0
경남 합천군,,,,,22879.0,337.0
제주 소계,,,,,4301.0,11.0
제주 제주시,,,,,2749.0,9.0
제주 서귀포시,,,,,1552.0,2.0
강원 소계,,,,,137788.0,298.0
