지역,재배면적_ha,10a당_생산량_kg,생산량_톤,재배면적_km2,생산량_톤),톤_퍼_km2
경상남도 의령군,2977,519,15456,29.77,15456,519.1803829358414
경상남도 함안군,4961,491,24355,49.61,24355,490.9292481354566
경상남도 창녕군,6319,510,32208,63.19,32208,509.70090204146226
경상남도 고성군,4672,504,23565,46.72,23565,504.38784246575347
경상남도 남해군,2323,471,10954,23.23,10954,471.5454154111063
경상남도 하동군,3893,481,18711,38.93,18711,480.6319034163884
경상남도 산청군,3109,486,15118,31.09,15118,486.2656802830492
경상남도 함양군,3278,547,17925,32.78,17925,546.8273337400854
경상남도 거창군,3801,532,20219,38.01,20219,531.9389634306762
경상남도 합천군,6310,503,31766,63.1,31766,503.4231378763867
제주도 서귀포시,5,395,19,0.05,19,380.0
