지역,재배면적_ha,10a당_생산량_kg,생산량_톤,재배면적_km2,생산량_톤),톤_퍼_km2
경상남도 함안군,4961,670,33254,49.61,33254,670.3084055633944
경상남도 창녕군,6319,696,43986,63.19,43986,696.0911536635543
경상남도 고성군,4672,681,31801,46.72,31801,680.6720890410959
경상남도 남해군,2323,643,14935,23.23,14935,642.9186396900559
경상남도 하동군,3893,645,25121,38.93,25121,645.2864115078346
경상남도 산청군,3109,641,19915,31.09,19915,640.559665487295
경상남도 함양군,3278,720,23592,32.78,23592,719.7071384990847
경상남도 거창군,3801,693,26351,38.01,26351,693.2649302815049
경상남도 합천군,6310,680,42902,63.1,42902,679.904912836767
제주도 서귀포시,5,555,26,0.05,26,520.0
