지역,재배면적_ha,10a당_생산량_kg,생산량_톤,재배면적_km2,생산량_톤),톤_퍼_km2
전라남도 장흥군,7539,485,36533,75.39,36533,484.5868152274837
전라남도 강진군,9023,516,46530,90.23,46530,515.68214562784
전라남도 해남군,19727,517,102022,197.27,102022,517.1693617884118
전라남도 영암군,14123,531,74969,141.23,74969,530.8291439495858
전라남도 무안군,7977,530,42252,79.77,42252,529.6728093268147
전라남도 함평군,6567,533,35035,65.67,35035,533.500837520938
전라남도 영광군,9211,526,48489,92.11,48489,526.4249267180545
전라남도 장성군,3968,515,20443,39.68,20443,515.1965725806451
전라남도 완도군,1744,510,8900,17.44,8900,510.3211009174312
전라남도 진도군,5617,509,28617,56.17,28617,509.47124799715147
전라남도 신안군,8426,530,44659,84.26,44659,530.0142416330406
경상북도 포항시,5786,556,32155,57.86,32155,555.737988247494
경상북도 경주시,10759,559,60100,107.59,60100,558.6021005669671
경상북도 김천시,3762,545,20500,37.62,20500,544.922913343966
경상북도 안동시,4840,591,28612,48.4,28612,591.1570247933885
경상북도 구미시,6981,614,42889,69.81,42889,614.3675691161725
경상북도 영주시,3567,582,20746,35.67,20746,581.6091954022988
경상북도 영천시,2166,535,11579,21.66,11579,534.5798707294553
경상북도 상주시,11919,617,73539,119.19,73539,616.9896803423106
경상북도 문경시,3389,620,20994,33.89,20994,619.4747713189731
경상북도 경산시,979,561,5494,9.79,5494,561.1848825331972
경상북도 의성군,9344,589,55026,93.44,55026,588.8912671232877
경상북도 청송군,677,563,3808,6.77,3808,562.4815361890695
경상북도 영양군,517,548,2834,5.17,2834,548.1624758220503
경상북도 영덕군,1521,547,8318,15.21,8318,546.8770545693623
경상북도 청도군,2280,537,12245,22.8,12245,537.061403508772
경상북도 고령군,3031,535,16217,30.31,16217,535.0379412735072
경상북도 성주군,2379,523,12452,23.79,12452,523.4131988230349
경상북도 칠곡군,2155,551,11870,21.55,11870,550.8120649651972
경상북도 예천군,9368,589,55210,93.68,55210,589.3467122117847
경상북도 봉화군,1972,571,11260,19.72,11260,570.9939148073023
경상북도 울진군,1948,550,10713,19.48,10713,549.9486652977413
경상남도 창원시,3634,556,20201,36.34,20201,555.8888277380297
경상남도 진주시,3778,529,20001,37.78,20001,529.4070937003705
경상남도 통영시,349,531,1850,3.49,1850,530.0859598853868
경상남도 사천시,3605,535,19295,36.05,19295,535.2288488210819
경상남도 김해시,3203,528,16920,32.03,16920,528.2547611614111
경상남도 밀양시,4390,537,23596,43.9,23596,537.49430523918
경상남도 거제시,1294,519,6721,12.94,6721,519.3972179289026
경상남도 양산시,584,522,3046,5.84,3046,521.5753424657535
경상남도 의령군,2977,559,16637,29.77,16637,558.8511924756466
경상남도 함안군,4961,529,26216,49.61,26216,528.4418464019351
경상남도 창녕군,6319,549,34670,63.19,34670,548.6627630954265
경상남도 고성군,4672,543,25366,46.72,25366,542.9366438356165
경상남도 남해군,2323,508,11791,23.23,11791,507.57640981489453
경상남도 하동군,3893,517,20141,38.93,20141,517.364500385307
경상남도 산청군,3109,523,16273,31.09,16273,523.4158893534899
경상남도 함양군,3278,589,19295,32.78,19295,588.621110433191
경상남도 거창군,3801,573,21764,38.01,21764,572.5861615364378
경상남도 합천군,6310,542,34194,63.1,34194,541.9017432646592
제주도 서귀포시,5,426,20,0.05,20,400.0
